DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260924,544545,7057,54.54
20260924,544546,14400,100.0
20260924,544547,264,100.0
20260924,544550,33606,52.13
20260924,544551,5000,71.43
20260924,544552,3600,100.0
20260924,544553,4000,50.0
20260924,544554,24000,100.0
20260924,544555,3600,100.0
20260924,544557,34694,59.11
20260924,544558,2542,81.74
20260924,544559,11200,100.0
20260924,544560,14000,77.78
20260924,544561,24000,80.0
20260924,544562,5632,71.51
20260924,544563,13500,100.0
20260924,544564,807,100.0
20260924,544565,2000,100.0
20260924,544566,3000,50.0
20260924,544567,2000,83.33
20260924,544568,44400,88.1
20260924,544569,105823,48.39
20260924,544570,1269,33.39
20260924,544572,699,25.19
20260924,544574,86983,55.81
20260924,544575,6000,100.0
20260924,544576,107859,87.12
20260924,544578,4384,34.45
20260924,544579,1959,99.9
20260924,544580,15044,68.43
20260924,544581,4410,81.88
20260924,544582,49200,77.36
20260924,544583,1685859,87.42
20260924,544584,13000,100.0
20260924,544585,8000,100.0
20260924,544586,38650,84.58
20260924,544587,1895,54.96
20260924,544594,3600,75.0
20260924,544595,2585,64.9
20260924,544596,7200,75.0
20260924,544597,15484,35.24
20260924,544598,718,100.0
20260924,544599,1182,58.49
20260924,544600,67199,52.11
20260924,544601,141,50.18
20260924,544602,121803,62.36
20260924,544603,1058441,60.98
20260924,544604,3251,55.57
20260924,544605,16363,84.54
20260924,544606,1028640,47.0
20260924,544607,40800,75.56
20260924,544608,103786,63.53
20260924,544609,68641,37.83
20260924,544610,9000,55.56
20260924,544611,22800,86.36
20260924,544612,47182,74.9
20260924,544613,7644,49.25
20260924,544614,25323,53.92
20260924,544615,3381,100.0
20260924,544616,27000,100.0
20260924,544617,71048,46.19
20260924,544618,21,100.0
20260924,544619,5805,54.2
20260924,544620,10,100.0
20260924,544621,1000,100.0
20260924,544622,424012,56.45
20260924,544623,1200,100.0
20260924,544624,15000,100.0
20260924,544625,7800,86.67
20260924,544626,21000,100.0
20260924,544627,1000,100.0
20260924,544628,34000,27.87
20260924,544629,3000,100.0
20260924,544631,1236,67.36
20260924,544632,206099,25.03
20260924,544633,50697,64.73
20260924,544634,111678,56.49
20260924,544635,107200,85.9
20260924,544637,35400,60.82
20260924,544638,439,54.33
20260924,544639,21,100.0
20260924,544640,16800,82.35
20260924,544641,10800,75.0
20260924,544642,17031,55.77
20260924,544644,943,68.63
20260924,544645,4186,59.83
20260924,544646,50000,71.43
20260924,544647,117191,24.64
20260924,544648,4000,100.0
20260924,544654,5145,95.38
20260924,544655,2026,100.0
20260924,544656,400,100.0
20260924,544657,16800,90.32
20260924,544658,51783,96.84
20260924,544659,4000,100.0
20260924,544660,8057,100.0
20260924,544661,1250,98.74
20260924,544662,310,99.04
20260924,544664,7471,43.62
20260924,544665,75200,100.0
20260924,544666,10289,63.56
20260924,544667,43200,92.31
20260924,544668,7200,75.0
20260924,544669,8400,100.0
20260924,544670,23400,100.0
20260924,544671,12000,80.0
20260924,544672,236,91.12
20260924,544673,6400,80.0
20260924,544674,625,86.21
20260924,544675,19200,100.0
20260924,544676,4800,100.0
20260924,544677,3200,100.0
20260924,544678,346002,70.01
20260924,544679,3148,48.42
20260924,544681,23000,57.5
20260924,544682,28800,66.67
20260924,544683,3000,100.0
20260924,544684,27600,100.0
20260924,544685,111869,39.1
20260924,544686,2000,50.0
20260924,544687,14000,100.0
20260924,544688,18000,100.0
20260924,544693,3200,100.0
20260924,544694,2000,100.0
20260924,544695,55000,100.0
20260924,544698,3200,100.0
20260924,544699,93441,59.92
20260924,544700,11475,63.12
20260924,544701,9224,74.11
20260924,544702,65604,76.59
20260924,544703,86434,74.29
20260924,544704,8621,64.09
20260924,544705,2938,57.29
20260924,544706,50,100.0
20260924,544708,4800,100.0
20260924,544709,33711,60.26
20260924,544710,486000,63.78
20260924,544711,8000,72.73
20260924,544716,343,92.95
20260924,544717,3117,32.92
20260924,544718,12326,76.55
20260924,544719,6,85.71
20260924,544720,35187,56.08
20260924,544721,7087,84.45
20260924,544722,1798,91.22
20260924,544723,133015,63.49
20260924,544724,9000,100.0
20260924,544725,6040,87.06
20260924,544726,12542,100.0
20260924,544731,24151,63.81
20260924,544732,546,80.29
20260924,544733,2403,72.12
20260924,544734,11943,97.71
20260924,544735,43000,82.69
20260924,544737,203,100.0
20260924,544738,2000,100.0
20260924,544739,37251,56.45
20260924,544740,78400,100.0
20260924,544741,3600,100.0
20260924,544742,1482,55.15
20260924,544743,15378,68.05
20260924,544744,3598,53.67
20260924,544745,50202,66.6
20260924,544746,8000,83.33
20260924,544748,323741,49.78
20260924,544750,6500,91.32
20260924,544751,26400,100.0
